State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,208201,119824,638702,41396,230,6387,201,379,74770,273,150146,26376,176522,90911,70840,43009,37072,24732,17091,38510,18710,901.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,573242,327604,1648749,51200,1117,7151,3421,12171,148128,1852,367859,66759,434618,261087,214162,125117,84684,58509,44812,111617,52090,877.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,353030,247755,1077545,34419,511,128,92,93,102228,837,250953,25916,276869,185550,168224,129344,80312,60845,33067,27536,17833,957.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,459353,288587,1383475,44143,588,251,109,15569,132725,1090,322772,60220,382992,202448,188694,143231,78053,58245,35034,95728,30506,901.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,730817,510173,1718204,233133,4659,3241,945,24622,323379,7501,300765,188684,489449,286534,280030,178295,159263,119586,111290,260973,165304,955.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,210907,145765,620515,15966,667,190,70,220,67975,839,138100,29966,168066,90791,94011,74854,43418,27216,18144,23450,19781,950.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,512344,350574,1287391,149548,1313,914,295,18490,181510,1926,292579,83830,376409,242021,214603,123650,104007,65581,59814,190365,73505,896.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,758977,652304,1107809,357253,4483,1504,328033,10205,314490,6163,308158,196077,504235,231841,328367,275264,291391,205723,112574,342367,180311,946.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,1207104,1044771,2055177,421410,7223,2242,383891,11360,512492,9438,508921,272894,781815,326195,468853,463051,525116,346876,203273,553087,342031,951.0,78.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,868733,597269,2291133,237353,2218,295,334,775,44456,2362,428291,49006,477297,559512,482199,302662,253142,136783,91371,166509,84329,926.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,2545438,786677,15991,5142,309093,30981,589477,23258,551789,427343,979132,381695,686271,422964,537936,310762,253253,616355,360410,923.0,68.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,488709,411151,1009352,26502,2145,831,154458,1017,227025,2932,283843,72575,356418,115150,187870,208902,204435,153749,67061,207488,168707,982.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,987185,731322,2174672,320395,2097,824,68482,8719,402052,5614,563114,135457,698571,309704,436446,280800,316758,206530,129996,374363,136943,916.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,1048892,830982,1845424,354236,3531,1668,364229,12242,423036,4767,575405,152787,728192,315408,457067,400342,406379,228266,113783,451231,195038,934.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,872565,706050,1780085,92297,10701,5251,286734,3861,418666,8239,451324,233331,684655,243773,316192,337320,351610,241179,126488,409521,229471,961.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,723388,570528,1825460,187901,3653,1422,13405,12818,315332,6065,382777,146013,528790,200494,323641,208571,290656,182739,114931,324594,127610,946.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,542837,461406,1153861,26157,1827,2160,125282,1568,239981,2866,319702,66813,386515,138457,237888,231153,225595,159570,57923,174150,151792,999.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,450551,340192,863199,127552,992,643,176679,5278,159114,1221,242456,41913,284369,175736,266649,127246,136075,74544,38698,180484,73460,942.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,1629223,1262659,3457615,560261,7091,3091,143865,27404,720791,14297,796223,373565,1169788,482462,735730,532587,627198,375643,229987,764674,316969,925.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,699428,496095,1504641,274221,12542,1629,152540,9619,288895,3791,404746,98084,502830,271061,422207,218189,225331,120715,64060,301447,141841,937.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,1559760,1266085,3379906,286558,15573,1570,29766,154882,770005,22269,796496,382818,1179314,321457,622362,487227,698604,395234,335413,771669,612194,957.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,932432,718240,2006984,367664,2387,935,66535,6387,381722,6217,428616,157016,585632,268627,423711,296910,380344,224998,153256,380772,178478,928.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,1959220,1714588,3492202,390974,34667,20469,668050,24528,917626,57964,430844,877522,1308366,325084,666693,812381,790443,542228,493236,914291,753520,951.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,1255222,934203,2501741,471951,3902,13540,354189,5049,488748,7548,591119,230563,821682,416869,691348,368723,416761,255650,156225,505657,217163,943.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,512099,394410,1521618,96182,8467,685,4969,6191,186202,2579,333440,71572,405012,166664,218718,121404,160961,113019,58461,209973,91574,978.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,2397538,1947828,5237009,693052,23946,8912,94783,38212,904710,45039,904661,764271,1668932,544346,1038955,851714,830070,485052,373100,1000293,551864,934.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,644304,493506,1437623,178925,942,340,28216,4530,240042,3209,367158,77832,444990,183972,300965,201646,260772,139479,96847,271812,96586,924.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,666291,491523,1328385,306364,2081,1371,187899,6238,272486,3982,293480,133759,427239,229217,396713,204316,229103,116041,81333,270114,103819,947.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,3940210,3231513,8090254,673704,134192,27090,340404,127786,1925019,235018,1165718,2056739,3222457,559840,1234549,1383055,1414563,867256,1086650,1915302,1531966,915.0,76.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,750278,743706,951639,542756,408883,1422986,17332,47653,2117,781,409,297308,3342,354278,66638,420916,246480,260661,210964,130700,93340,66358,50603,69909,991.0,64.0
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,1344345,1289855,1939994,1059692,880302,2239370,227465,17452,7477,121791,12260,547206,38570,581868,377160,959028,231263,407662,335886,441072,221410,204507,547214,369857,959.0,74.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,619012,580380,1307211,187197,1990,230,113467,3347,367352,7752,538538,100824,639362,163025,378554,269872,247257,111600,65700,348019,273162,1122.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,1121550,927917,2440312,239607,9098,1260,38210,87453,485126,13212,626872,226801,853673,208511,507318,459156,453404,244804,214003,517310,380072,966.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,1201034,1024660,2691952,146970,4408,1182,141315,12810,562653,14093,774522,200949,975471,288427,495822,407977,556706,299993,243457,575804,455235,988.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,348289,317778,780384,26264,15471,219,24762,1046,194228,3517,295847,44989,340836,86480,165284,134734,175070,89023,48418,181343,155696,1036.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,1651266,1259410,3795424,441254,9882,1279,35497,28134,595560,15145,779929,376302,1156231,390337,788150,535848,643327,328020,236302,698690,355107,938.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,4591396,3635765,8716055,1355630,280700,39149,449617,172052,2231800,256170,713994,2904157,3618151,712171,1530916,1588196,1751284,1080597,961719,2207808,1627847,886.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,552617,466841,1057096,53854,2696,2147,175417,5663,266155,4313,268486,120218,388704,140470,186781,201471,225208,158055,93772,260962,171680,946.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,487703,382214,859949,142672,1707,518,179330,8476,196022,1875,274925,55921,330846,166509,238985,160331,162762,116032,47865,210412,87120,930.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,1115980,906594,2251401,239236,4567,1596,249874,11422,446516,6094,629243,168889,798132,391944,562739,382001,389924,245819,123074,508756,198454,952.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,87313,69020,175102,18691,4264,56,76,16,34364,676,34977,21172,56149,15941,36011,50004,31775,20077,20074,16508,41441,999.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,51053,39249,10810,3086,129049,136,400,59,18764,184,30377,3783,34160,17382,28163,30589,18971,12213,8105,11611,23065,933.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,104013,91922,12034,2886,254979,152,495,87,29894,837,52972,4853,57825,32860,67907,65475,38567,23284,14523,28742,41638,975.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,148012,116465,43833,1649,426819,140,2409,53,22798,256,38008,1826,39834,46757,81735,91395,62033,40438,24940,16321,29985,937.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,47403,37603,2995,589,134760,59,425,57,11541,125,23982,4119,28101,11155,28461,26794,17867,11645,7102,10189,17284,943.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,152617,116687,267146,107323,4322,106,114,24,49507,880,65961,38302,104263,32396,69738,87932,55803,37899,28550,29742,78949,1002.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,70148,59681,7553,1115,174112,108,635,70,14026,276,36084,5806,41890,20670,29382,38350,31734,22729,15636,28568,29549,943.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,102513,89634,17272,3359,289708,56,1004,38,24550,288,62698,11518,74216,51578,70679,52762,31328,9473,2484,7915,46851,972.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,287270,290760,144935,14185,543394,2495,3111,303,135941,5032,106248,108843,215091,118135,163729,127722,94579,58836,61639,109102,111335,1011.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,87371,100156,12456,1646,271596,34,284,45,41677,510,76546,7171,83717,67749,61526,34677,26748,13544,8039,45836,30960,1013.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,45003,37059,7036,1050,132984,27,332,10,10940,179,35930,3713,39643,25906,28921,21506,13858,3998,826,2347,15916,945.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,193438,165264,122936,106788,389956,209,3392,144,51301,1630,139351,18594,157945,85733,129178,90963,70941,29404,10856,21585,73800,984.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,117307,113371,6498,1533,366881,58,1313,38,32873,149,74832,12299,87131,80318,78208,45046,28417,12295,6450,15981,29492,980.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,169547,171048,13249,5264,379134,105,1570,76,79804,4019,20570,80341,100911,29332,68214,100103,78752,37701,31310,73761,80980,1009.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,51440,49362,1075,699,123446,9,151,45,23948,186,18395,12717,31112,14491,31359,30454,16259,4956,4087,21158,24612,984.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,34147,31748,4000,4426,75210,16,108,2,14853,367,9669,12507,22176,11367,18046,20399,9849,3473,2530,11294,16632,956.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,36444,26417,1668,522,63892,52,51549,122,9283,162,21993,5273,27266,19890,21114,16629,10538,3763,2515,8506,15309,945.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,64515,56607,5231,1290,127124,74,27543,93,26394,482,21479,17315,38794,22181,33313,34774,19918,8503,5509,22896,28570,947.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,32977,27214,2989,1782,69104,13,12328,25,12158,90,16726,4129,20855,9328,19711,19949,10756,3180,1771,8945,14784,927.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,21861,20372,933,514,54977,11,102,4,7400,168,7043,5784,12827,8422,14151,12130,7269,3628,2204,7587,9981,979.0,75.0
Mizoram,Serchhip,23.263864705882344,92.914158496732,285,64937,32851,32086,54476,27598,26878,991,335,63444,6,60,9,12315,131,7472,8018,15490,8771,14985,16237,9062,2915,2128,11822,12317,977.0,84.0
Nagaland,Dimapur,25.814176811594223,93.75074057971014,265,378811,197394,181417,278037,150142,127895,108900,31212,234239,566,1270,2148,71413,3303,49116,62853,111969,34539,61815,80076,44343,26712,27532,69407,72398,919.0,73.0
Nagaland,Kohima,25.60311428571428,93.78600657596373,270,267988,138966,129022,197489,107038,90451,25496,4384,234955,998,1519,80,50724,1928,31845,44255,76100,21654,46756,57726,30518,19855,23439,43001,37427,928.0,74.0
Nagaland,Mokokchung,26.478911764705888,94.522426006192,262,194622,101092,93530,159494,83479,76015,9840,2057,181847,78,442,66,40154,537,37536,17742,55278,20259,43483,54035,27425,13077,10299,41293,41057,925.0,82.0
Nagaland,Mon,26.69207374301676,95.03072988826828,261,250260,131753,118507,119626,67432,52194,8102,3444,236494,84,1256,314,14398,178,43607,7415,51022,37431,46055,30500,7628,3565,1772,28073,27663,899.0,48.0
Nagaland,Phek,25.63272986577182,94.56814563758392,266,163418,83743,79675,105893,57926,47967,3563,950,158224,31,350,17,36182,170,38903,7295,46198,22494,32722,30434,12785,7268,5926,29897,29489,951.0,65.0
Nagaland,Tuensang,26.21104453280316,94.85809880715708,267,196596,101933,94663,117511,63653,53858,2979,1052,191864,27,572,5,24998,155,40690,9451,50141,29602,40900,33514,15013,6008,2760,30295,22080,929.0,60.0
Nagaland,Wokha,26.202611551155112,94.1990815181518,264,166343,84505,81838,128208,67385,60823,5605,2043,158236,34,318,8,25268,198,38499,8170,46669,15865,37024,41627,18746,10223,8030,29411,22108,968.0,77.0
Nagaland,Zunheboto,26.028178205128206,94.50026666666668,263,140757,71217,69540,102881,53504,49377,2580,772,136995,39,286,6,28846,261,31267,6044,37311,16523,30889,35113,17282,8821,5560,26285,22868,976.0,73.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377,2320529,1185787,1134742,1621232,902359,718873,2197709,94254,6434,237,111,201,296834,7370,601154,82440,683594,342192,470502,416510,267354,112392,105962,99843,145565,957.0,70.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378,1506337,760260,746077,1094140,596269,497871,1398543,104202,745,169,81,111,164636,2637,373862,54244,428106,210736,391081,297270,177013,71815,67536,58614,62233,981.0,73.0
Orissa,Cuttack,20.407640646029623,85.7776810228802,381,2624470,1352760,1271710,2011469,1103033,908436,2457729,141263,11985,1026,6276,1180,349587,15046,579529,210768,790297,289414,545514,513039,328319,159456,181601,189715,205665,940.0,77.0
Orissa,Dhenkanal,20.79887159353349,85.53226836027711,383,1192811,612593,580218,829910,464093,365817,1185542,4805,727,124,366,39,117172,1810,315390,36979,352369,188872,238599,193395,132002,53162,43064,43089,51080,947.0,70.0
Orissa,Gajapati,19.121080882352945,84.14015091911759,389,577817,282882,294935,262537,153663,108874,353160,1556,219482,53,2180,66,63112,635,152095,23050,175145,68405,76419,54787,36977,17084,12556,21818,23322,1043.0,45.0
Orissa,Ganjam,19.2632617564534,84.80297710437702,388,3529031,1779218,1749813,2210050,1262652,947398,3486059,13315,23975,590,174,170,405298,9049,795476,219918,1015394,518072,767140,508511,297490,121151,97147,170397,215821,983.0,63.0
Orissa,Jharsuguda,21.827058566978184,83.93581682242987,371,579505,296690,282815,405879,228092,177787,553587,12783,10462,1441,80,70,81433,2498,103224,73962,177186,69122,101541,103622,70928,32909,22010,34457,35184,953.0,70.0
Orissa,Kalahandi,19.784253092783523,83.1124043814433,395,1576869,787101,789768,802036,484177,317859,1555367,4975,11160,796,175,1225,91171,1953,456336,38412,494748,213426,225468,172905,94044,40383,27385,43839,47442,1003.0,51.0
Orissa,Kandhamal,20.092878624813142,84.02216352765326,390,733110,359945,373165,399786,233900,165886,580300,2138,148895,82,290,47,28736,768,218446,24489,242935,108606,145604,108773,48856,21351,14962,16664,19176,1037.0,55.0
Orissa,Kendrapara,20.606319815982264,86.83763247572003,379,1440361,717814,722547,1089265,579970,509295,1386792,50247,1423,169,62,52,173107,1628,414749,23494,438243,218444,357621,298557,203472,76449,75926,53594,58387,1007.0,76.0
Orissa,Khordha,20.054162322274863,85.52234834123229,386,2251673,1167137,1084536,1749936,957515,792421,2147632,84060,12527,1264,475,476,349860,35701,331834,356895,688729,276378,445785,436534,295099,177974,247498,230931,230413,929.0,78.0
Orissa,Koraput,18.82627794779476,82.81278469846964,398,1379647,678809,700838,568090,340843,227247,1294151,8850,68550,518,219,491,85766,3988,381789,78339,460128,158847,158653,98266,60589,32257,29000,74594,58682,1032.0,41.0
Orissa,Malkangiri,18.25227930367506,81.98293636363628,399,613192,303624,309568,244706,147001,97705,600219,1871,10039,213,43,195,24604,448,167884,15839,183723,60913,64683,44962,19031,8487,5585,14559,12839,1020.0,40.0
Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,376,2519738,1256213,1263525,1369397,794171,575226,2113079,33706,15008,661,162,109,140189,2950,689110,64479,753589,283489,390037,385216,214921,92060,72847,61298,109355,1006.0,54.0
Orissa,Nayagarh,20.192895622119817,85.05614700460825,385,962789,502636,460153,688362,392333,296029,955754,5278,383,107,33,24,124984,1163,261646,26688,288334,174904,227102,177180,90089,36951,33148,30424,43798,915.0,71.0
Orissa,Nuapada,20.471309512195116,82.59152536585364,394,610382,301962,308420,299383,180903,118480,601092,4952,1778,724,76,905,43976,757,197258,11869,209127,64389,114394,73787,51886,19577,10131,15564,23219,1021.0,49.0
Orissa,Puri,19.83509174603177,85.86698989898981,387,1698730,865380,833350,1291939,704857,587082,1644905,46094,4239,193,243,94,201605,3416,402014,72210,474224,251520,413605,364098,179086,84374,87000,83906,87997,963.0,76.0
Orissa,Rayagada,19.292840020060204,83.45860120361095,396,967911,471960,495951,407735,241959,165776,874445,4607,84916,219,249,123,61543,1553,237343,49205,286548,84956,97387,73210,46001,21439,17681,38841,33500,1051.0,42.0
Orissa,Sambalpur,21.515752380952385,84.34958483245157,372,1041099,526877,514222,703691,393192,310499,964188,20120,50637,2506,310,86,126498,5231,220697,94798,315495,133005,185289,171876,108455,50705,45828,56306,56878,976.0,68.0
Orissa,Sundargarh,22.06354819277107,84.50524819277099,374,2093437,1061147,1032290,1342322,750147,592175,1532352,71391,385011,5713,710,721,223537,12787,387911,230151,618062,208100,350349,335380,243386,120373,94710,139057,132466,973.0,64.0
Puducherry,Karaikal,10.876161726078813,79.82369793621002,637,200222,97809,102413,154916,79903,75013,152638,28835,18391,46,63,54,47880,1868,35618,33715,69333,18943,32899,33458,29456,15930,18998,34908,30326,1047.0,77.0
Puducherry,Mahe,12.006420793787758,75.28275021570326,636,41816,19143,22673,36470,16610,19860,27940,12856,958,3,21,14,7150,574,0,12110,12110,2948,6043,7930,8773,5711,4475,7105,7041,1184.0,87.0
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,19919,19355,53537,1191,873,3,1,4,12859,207,0,15519,15519,3804,10954,8806,8044,4101,3836,11899,10895,1038.0,71.0
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,932981,751789,690939,12502,54344,1716935,876,3152,461231,29961,275477,385476,660953,197944,313874,283819,328229,203656,142399,430958,379230,889.0,68.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,488261,356607,380569,16299,2474,984286,246,1266,255650,11284,218159,137563,355722,117795,182796,145626,163928,96329,70240,241449,232629,868.0,61.0
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,215767,165518,141363,3125,1227,469789,155,1109,113549,4348,99946,58917,158863,53734,89433,71178,75419,48360,29838,107033,99988,890.0,62.0
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,238696,187337,152851,16808,1698,427521,48,178,113683,5138,117559,57337,174896,51897,102257,83931,95073,59555,34990,104467,99858,871.0,71.0
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,707070,520441,906408,6844,19358,1090815,454,1143,349662,10042,348522,153868,502390,196971,306838,226433,221806,147698,82448,303760,274015,893.0,60.0
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,907660,727059,1074332,27667,176587,1002874,405,580,411216,14428,420860,185488,606348,180897,315156,290618,372317,243539,104345,360051,258924,895.0,71.0
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,637927,561772,1000743,23089,14968,538208,3476,2034,319930,13747,422673,128592,551265,143871,256127,238975,301435,176013,93618,285730,210621,961.0,76.0
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,882581,739956,1394329,30233,26016,718363,11385,4011,446200,39082,330339,377791,708130,183441,333736,304652,339758,216646,162965,422876,392909,915.0,74.0
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,316254,260313,336124,10190,5445,453692,6662,553,161206,9732,165433,95770,261203,71698,127031,112774,128828,77442,48221,149071,137713,912.0,71.0
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1428348,1131877,1502403,77713,16517,1863408,2007,19620,703624,58589,395032,641789,1036821,277247,488129,443759,527568,318876,272280,669232,667902,873.0,73.0
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,244037,179523,156539,10375,917,598443,123,1577,140099,2673,145603,50786,196389,75708,106162,84553,85953,48663,27461,128019,99571,883.0,55.0
Punjab,Moga,30.756540067340065,75.1600845117845,42,995746,525920,469826,627889,348549,279340,158414,9388,3277,818921,178,436,183396,7897,214295,74144,288439,98764,158812,116716,128693,85642,37417,171503,167596,893.0,63.0
Punjab,Muktsar,30.31243303303303,74.5518747747748,44,901896,475622,426274,524848,300401,224447,254920,4333,1681,638625,240,744,166585,4571,149507,74650,224157,90240,137470,101852,104682,62612,36905,152188,133635,896.0,58.0
Punjab,Patiala,30.214540380693364,76.27505893949697,48,1895686,1002522,893164,1266791,711052,555739,783306,40043,5683,1059944,245,1914,352929,24274,299279,218090,517369,173890,283837,239609,256826,157435,141947,327085,309524,891.0,67.0
Punjab,Rupnagar,30.910937330754347,76.53743500967126,51,684627,357485,327142,502731,278534,224197,304481,14492,2094,361045,118,653,129123,6600,148162,60537,208699,53005,107715,98135,116836,68794,38823,114310,88385,915.0,73.0
Punjab,Sangrur,30.185045204336895,75.89437014178496,53,1655169,878029,777140,1002077,570413,431664,389410,179116,2406,1077438,268,3222,305557,10736,292156,156788,448944,163251,250833,197901,220210,130155,73636,282915,259912,885.0,61.0
Rajasthan,Ajmer,26.199300378787903,74.6990419191919,119,2583052,1324085,1258967,1526673,926268,600405,2201663,314159,10605,6799,417,45614,393498,13499,409335,274919,684254,379043,394576,313680,200191,130608,172683,305048,204571,951.0,59.0
Rajasthan,Alwar,27.55271738035265,76.65359630562563,104,3674179,1939026,1735153,2182476,1359829,822647,3039279,547335,2696,64532,4384,13221,485723,9750,782294,212967,995261,492781,492981,468628,324050,230415,222622,330836,172919,895.0,59.0
Rajasthan,Banswara,23.453642032967014,74.44246868131869,125,1797485,907754,889731,829343,513854,315489,1701234,48834,22250,427,138,22613,120603,2324,390437,39407,429844,240067,190259,137780,75011,50438,47094,72390,45574,980.0,46.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128,1222755,633945,588810,693307,432607,260700,1133349,79984,1432,3066,84,2795,161310,1363,249184,69804,318988,203489,194024,144190,76209,46847,49939,92962,42258,929.0,57.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115,2603751,1369022,1234729,1188322,783461,404861,2244882,321192,1157,450,157,34010,126494,2766,542825,55980,598805,406804,352636,219932,101291,52272,39533,234694,66597,902.0,46.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105,2548462,1355726,1192736,1480869,943910,536959,2143046,371286,1576,23456,899,5758,288723,4179,479437,129697,609134,363676,330336,314953,211938,147520,132571,198184,85903,880.0,58.0
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,122,2408523,1220736,1187787,1256126,777582,478544,2224839,142427,1978,1468,183,35149,373644,6207,530015,145865,675880,398993,338296,258990,141250,92785,106667,231845,115740,973.0,52.0
Rajasthan,Bikaner,28.12489068322981,73.26943322981371,101,2363937,1240801,1123136,1278801,782399,496402,2073356,235741,1901,20072,285,30850,220793,7607,335754,196179,531933,410155,333211,254335,143669,80296,101714,301031,195188,905.0,54.0
Rajasthan,Bundi,25.48580716049379,75.79984074074079,121,1110906,577160,533746,585044,371705,213339,1017688,66609,682,11059,144,13455,136969,1392,239836,63452,303288,153500,159218,121104,63248,41227,41052,77636,42082,925.0,53.0
Rajasthan,Chittaurgarh,24.631623761665463,74.80010997846382,126,1544338,783171,761167,821825,514851,306974,1413163,97855,1274,1515,252,25843,268172,4941,366780,88873,455653,245603,225700,170455,90889,58129,67155,138788,67820,972.0,53.0
Rajasthan,Churu,28.29330375536484,74.65846427038629,102,2039547,1051446,988101,1149269,696729,452540,1777879,249736,958,402,188,7104,231696,2577,344897,148996,493893,336671,302022,237220,161520,100677,77282,268120,200805,940.0,56.0
Rajasthan,Dausa,26.91234817629181,76.57342097264443,109,1634409,857787,776622,938051,596935,341116,1582335,45488,439,296,94,3737,195277,1719,361084,59610,420694,229035,235474,208537,135234,92559,90833,85330,50480,905.0,57.0
