State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Housholds_with_Electric_Lighting,Households_with_Internet,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Sex Ratio,Literacy Rate
Jharkhand,Ranchi,23.184235061391547,85.31781937244203,364,2914253,1494937,1419316,1911433,1085244,826189,1612239,410759,193974,4826,932,2733,350908,22538,420740,310242,730982,361522,547583,495515,370847,247237,195181,237057,227932,949.0,66.0
Jharkhand,Sahibganj,24.93667989690721,87.68264097938142,352,1150567,589391,561176,483263,287303,195960,628044,398243,83208,198,245,125,34879,591,223450,37543,260993,146399,171416,110822,52248,28087,19832,35220,34451,952.0,42.0
Jharkhand,Simdega,22.608760391198054,84.59193691931536,367,599578,300309,299269,343483,191991,151492,201524,15103,306601,51,753,114,16865,423,144169,11114,155283,82317,130068,97580,47836,24842,13674,9228,9547,997.0,57.0
Karnataka,Bagalkot,16.15860676328503,75.64526070853468,556,1889752,950111,939641,1113412,641388,472024,1634229,219991,3433,443,412,25198,301389,3745,324799,165858,490657,242336,385986,147397,171505,115095,82319,272956,66813,989.0,59.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583,990923,509172,481751,688749,385311,303438,890429,92252,5368,389,272,1045,214253,3729,231052,95410,326462,100770,168165,126285,166677,82235,51015,201156,179589,946.0,70.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555,4779661,2423063,2356598,3052032,1725548,1326484,4038331,528412,18418,2037,1086,178310,808827,17560,962777,356198,1318975,544564,1057297,609600,532584,279583,201884,779974,316225,973.0,64.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565,2452595,1236954,1215641,1421621,813440,608181,2103633,320834,14014,1029,284,8044,440374,9626,371604,251876,623480,275785,529576,219702,203139,121453,89475,417150,156110,983.0,58.0
Karnataka,Bidar,17.950361730769224,77.19459961538459,558,1703300,870665,832635,1042673,597198,445475,1289709,335184,35438,1145,30453,680,271439,3971,287134,102269,389403,188998,474921,194233,181076,105347,54900,214601,72805,956.0,61.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,417,255230,128663,126567,86919,54076,32843,245151,1617,2709,68,1649,15,12516,117,50449,7942,58391,25597,22787,14170,7192,6755,3421,7780,2843,984.0,34.0
Karnataka,Bijapur,16.84015316666667,75.95909166666665,557,2177331,1111022,1066309,1248268,730566,517702,1786830,369588,2433,558,374,8665,326594,4987,396449,131041,527490,246391,430477,143199,182756,129109,96990,297164,73300,960.0,57.0
